task_id,sc_id,time_first_known,sc_start_time,container_start_time,finish_time,distance_to_container,time_to_container,travel_time,idle_time,origin_location,destination_location,sc_total_distance,container_distance
CO_TFTU000150,SC020,2024-08-21 07:27:00,2024-08-21 07:26:27,2024-08-21 07:27:00,2024-08-21 07:28:54,182193,32.798019801980196,147.35121512151215,0,QC005,WS013.01,818536,636343
CO_TFTU000169,SC020,2024-08-21 07:32:00,2024-08-21 07:31:27,2024-08-21 07:32:00,2024-08-21 07:33:54,182193,32.798019801980196,147.35121512151215,0,QC005,WS013.01,818536,636343
CO_TFTU000171,SC020,2024-08-21 07:33:00,2024-08-21 07:32:09,2024-08-21 07:33:00,2024-08-21 07:35:12,282637,50.87974797479748,183.5146714671467,0,QC006,WS013.01,1019424,736787
CO_TFTU000197,SC020,2024-08-21 07:41:00,2024-08-21 07:40:27,2024-08-21 07:41:00,2024-08-21 07:42:54,182193,32.798019801980196,147.35121512151215,0,QC005,WS013.01,818536,636343
CO_TFTU000205,SC020,2024-08-21 07:43:00,2024-08-21 07:42:09,2024-08-21 07:43:00,2024-08-21 07:45:12,282637,50.87974797479748,183.5146714671467,0,QC006,WS013.01,1019424,736787
CO_TFTU000266,SC020,2024-08-21 08:04:00,2024-08-21 08:03:27,2024-08-21 08:04:00,2024-08-21 08:05:54,182193,32.798019801980196,147.35121512151215,0,QC005,WS013.01,818536,636343
CO_TFTU000269,SC020,2024-08-21 08:04:00,2024-08-21 08:03:09,2024-08-21 08:04:00,2024-08-21 08:06:12,282637,50.87974797479748,183.5146714671467,0,QC006,WS013.01,1019424,736787
CO_TFTU000274,SC020,2024-08-21 08:05:00,2024-08-21 08:04:09,2024-08-21 08:05:00,2024-08-21 08:07:12,282637,50.87974797479748,183.5146714671467,0,QC006,WS013.01,1019424,736787
CO_TFTU000021,SC020,2024-08-21 07:04:00,2024-08-21 07:02:51,2024-08-21 07:04:00,2024-08-21 07:06:39,382227,68.8077407740774,228.37155715571558,0,QC007,WS014.01,1268604,886377
CO_TFTU000028,SC020,2024-08-21 07:05:00,2024-08-21 07:03:51,2024-08-21 07:05:00,2024-08-21 07:07:39,382227,68.8077407740774,228.37155715571558,0,QC007,WS014.01,1268604,886377
CO_TFTU000042,SC020,2024-08-21 07:08:00,2024-08-21 07:07:09,2024-08-21 07:08:00,2024-08-21 07:10:21,282637,50.87974797479748,192.5155715571557,0,QC006,WS014.01,1069424,786787
CO_TFTU000048,SC020,2024-08-21 07:09:00,2024-08-21 07:08:09,2024-08-21 07:09:00,2024-08-21 07:11:21,282637,50.87974797479748,192.5155715571557,0,QC006,WS014.01,1069424,786787
CO_TFTU000083,SC020,2024-08-21 07:15:00,2024-08-21 07:14:09,2024-08-21 07:15:00,2024-08-21 07:17:21,282637,50.87974797479748,192.5155715571557,0,QC006,WS014.01,1069424,786787
CO_TFTU000084,SC020,2024-08-21 07:15:00,2024-08-21 07:13:51,2024-08-21 07:15:00,2024-08-21 07:17:39,382227,68.8077407740774,228.37155715571558,0,QC007,WS014.01,1268604,886377
CO_TFTU000092,SC020,2024-08-21 07:16:00,2024-08-21 07:15:09,2024-08-21 07:16:00,2024-08-21 07:18:21,282637,50.87974797479748,192.5155715571557,0,QC006,WS014.01,1069424,786787
CO_TFTU000112,SC020,2024-08-21 07:19:00,2024-08-21 07:18:45,2024-08-21 07:19:00,2024-08-21 07:20:59,82176,14.793159315931593,133.82142214221423,0,QC004,WS014.01,743378,661202
CO_TFTU000118,SC020,2024-08-21 07:20:00,2024-08-21 07:19:09,2024-08-21 07:20:00,2024-08-21 07:22:21,282637,50.87974797479748,192.5155715571557,0,QC006,WS014.01,1069424,786787
CO_TFTU000134,SC020,2024-08-21 07:24:00,2024-08-21 07:23:09,2024-08-21 07:24:00,2024-08-21 07:26:21,282637,50.87974797479748,192.5155715571557,0,QC006,WS014.01,1069424,786787
CO_TFTU000144,SC020,2024-08-21 07:25:00,2024-08-21 07:24:09,2024-08-21 07:25:00,2024-08-21 07:27:21,282637,50.87974797479748,192.5155715571557,0,QC006,WS014.01,1069424,786787
CO_TFTU000172,SC020,2024-08-21 07:33:00,2024-08-21 07:32:09,2024-08-21 07:33:00,2024-08-21 07:35:21,282637,50.87974797479748,192.5155715571557,0,QC006,WS014.01,1069424,786787
CO_TFTU000183,SC020,2024-08-21 07:37:00,2024-08-21 07:35:51,2024-08-21 07:37:00,2024-08-21 07:39:39,382227,68.8077407740774,228.37155715571558,0,QC007,WS014.01,1268604,886377
CO_TFTU000210,SC020,2024-08-21 07:45:00,2024-08-21 07:44:27,2024-08-21 07:45:00,2024-08-21 07:47:03,182193,32.798019801980196,156.35211521152115,0,QC005,WS014.01,868536,686343
CO_TFTU000224,SC020,2024-08-21 07:47:00,2024-08-21 07:45:51,2024-08-21 07:47:00,2024-08-21 07:49:39,382227,68.8077407740774,228.37155715571558,0,QC007,WS014.01,1268604,886377
CO_TFTU000228,SC020,2024-08-21 07:49:00,2024-08-21 07:48:27,2024-08-21 07:49:00,2024-08-21 07:51:03,182193,32.798019801980196,156.35211521152115,0,QC005,WS014.01,868536,686343
CO_TFTU000237,SC020,2024-08-21 07:53:00,2024-08-21 07:51:51,2024-08-21 07:53:00,2024-08-21 07:55:39,382227,68.8077407740774,228.37155715571558,0,QC007,WS014.01,1268604,886377
CO_TFTU000240,SC020,2024-08-21 07:55:00,2024-08-21 07:54:27,2024-08-21 07:55:00,2024-08-21 07:57:03,182193,32.798019801980196,156.35211521152115,0,QC005,WS014.01,868536,686343
CO_TFTU000249,SC020,2024-08-21 07:58:00,2024-08-21 07:57:09,2024-08-21 07:58:00,2024-08-21 08:00:21,282637,50.87974797479748,192.5155715571557,0,QC006,WS014.01,1069424,786787
CO_TFTU000003,SC020,2024-08-21 07:00:00,2024-08-21 06:59:09,2024-08-21 07:00:00,2024-08-21 07:02:30,282637,50.87974797479748,201.5164716471647,0,QC006,WS015.01,1119424,836787
CO_TFTU000010,SC020,2024-08-21 07:02:00,2024-08-21 07:01:27,2024-08-21 07:02:00,2024-08-21 07:04:12,182193,32.798019801980196,165.35301530153015,0,QC005,WS015.01,918536,736343
