task_id,sc_id,time_first_known,sc_start_time,container_start_time,finish_time,distance_to_container,time_to_container,travel_time,idle_time,penalty_time,origin_location,destination_location,sc_total_distance,container_distance,sc_travel_time,container_travel_time
CO_TFTU000094,SC012,2024-08-21 07:16:00,2024-08-21 07:13:11,2024-08-21 07:16:00,2024-08-21 07:17:27,936833,168.64680468046805,256.28550855085507,36.534653,0,RAIL001.01,WS003.01,1423666,486833,256.28550855085507,87.63870387038703
CO_TFTU000089,SC001,2024-08-21 07:16:00,2024-08-21 07:13:47,2024-08-21 07:16:00,2024-08-21 07:16:11,736343,132.55499549954996,143.92439243924392,8.331593,0,QC005,YARD001.44,799500,63157,143.92439243924392,11.369396939693969
CO_TFTU000091,SC002,2024-08-21 07:16:00,2024-08-21 07:13:29,2024-08-21 07:16:00,2024-08-21 07:18:03,836787,150.63672367236722,274.27074707470746,62.151935,0,QC006,WS012.01,1523574,686787,274.27074707470746,123.63402340234023
CO_TFTU000086,SC005,2024-08-21 07:16:00,2024-08-21 07:14:40,2024-08-21 07:17:15,2024-08-21 07:18:01,860685,154.93879387938793,201.86678667866786,0.0,0,QC003,WS002.01,1121370,260685,201.86678667866786,46.92799279927993
CO_TFTU000088,SC003,2024-08-21 07:16:00,2024-08-21 07:13:29,2024-08-21 07:16:00,2024-08-21 07:17:54,836343,150.55679567956795,265.1099909990999,327.50171,0,QC005,WS013.01,1472686,636343,265.1099909990999,114.55319531953195
CO_TFTU000087,SC015,2024-08-21 07:16:00,2024-08-21 07:13:30,2024-08-21 07:16:01,2024-08-21 07:17:28,836343,150.55679567956795,238.1072907290729,0.0,0,QC005,WS010.01,1322686,486343,238.1072907290729,87.55049504950495
CO_TFTU000101,SC008,2024-08-21 07:17:00,2024-08-21 07:16:52,2024-08-21 07:17:00,2024-08-21 07:19:30,42713,7.689108910891089,158.32583258325832,44.621782,0,QC006,WS015.01,879500,836787,158.32583258325832,150.63672367236722
CO_TFTU000096,SC013,2024-08-21 07:17:00,2024-08-21 07:16:15,2024-08-21 07:17:02,2024-08-21 07:17:19,260685,46.92799279927993,63.607920792079206,0.0,0,QC003,YARD001.27,353342,92657,63.607920792079206,16.67992799279928
CO_TFTU000098,SC001,2024-08-21 07:17:00,2024-08-21 07:16:12,2024-08-21 07:17:00,2024-08-21 07:18:04,262657,47.282988298829885,112.2127812781278,1.347614,0,QC003,WS004.01,623342,360685,112.2127812781278,64.92979297929793
CO_TFTU000099,SC014,2024-08-21 07:17:00,2024-08-21 07:16:51,2024-08-21 07:17:43,2024-08-21 07:18:53,286343,51.54689468946895,122.14869486948695,0.0,0,QC005,YARD001.05,678536,392193,122.14869486948695,70.601800180018
